"('ReadingDate', <class 'int'>, None, 19, 19, 0, True)","('Easting', <class 'int'>, None, 19, 19, 0, True)","('Northing', <class 'int'>, None, 19, 19, 0, True)","('Intensity', <class 'float'>, None, 53, 53, 0, True)","('Intensity(mm/hr)', <class 'decimal.Decimal'>, None, 4, 4, 2, True)","('Depth', <class 'float'>, None, 53, 53, 0, True)","('Depth(mm)', <class 'decimal.Decimal'>, None, 6, 6, 2, True)","('IssuedDate', <class 'datetime.datetime'>, None, 23, 23, 3, True)","('Year', <class 'str'>, None, 1024, 1024, 0, True)","('Month', <class 'str'>, None, 1024, 1024, 0, True)","('Day', <class 'str'>, None, 1024, 1024, 0, True)"
202408010145,336500,160500,0.010416666666666666,0.01,0.125,0.13,2024-08-01 04:05:18.127,2024,08,01
202408010150,336500,160500,0.06510416666666667,0.07,0.78125,0.78,2024-08-01 04:10:05.067,2024,08,01
202408010155,336500,160500,0.125,0.13,1.5,1.50,2024-08-01 04:15:06.820,2024,08,01
202408010200,336500,160500,0.20572916666666666,0.21,2.46875,2.47,2024-08-01 04:20:08.917,2024,08,01
202408010205,336500,160500,0.2265625,0.23,2.71875,2.72,2024-08-01 04:25:10.803,2024,08,01
202408010210,336500,160500,0.13020833333333334,0.13,1.5625,1.56,2024-08-01 04:30:12.770,2024,08,01
202408010215,336500,160500,0.08333333333333333,0.08,1.0,1.00,2024-08-01 04:35:15.143,2024,08,01
202408010220,336500,160500,0.2526041666666667,0.25,3.03125,3.03,2024-08-01 04:40:17.077,2024,08,01
202408010225,336500,160500,0.265625,0.27,3.1875,3.19,2024-08-01 04:45:03.990,2024,08,01
202408010230,336500,160500,0.3671875,0.37,4.40625,4.41,2024-08-01 04:50:06.187,2024,08,01
202408010235,336500,160500,0.125,0.13,1.5,1.50,2024-08-01 04:55:08.077,2024,08,01
202408010240,336500,160500,0.0234375,0.02,0.28125,0.28,2024-08-01 05:00:10.510,2024,08,01
202408010245,336500,160500,0.1015625,0.10,1.21875,1.22,2024-08-01 05:05:12.357,2024,08,01
202408010250,336500,160500,0.19270833333333334,0.19,2.3125,2.31,2024-08-01 05:10:14.480,2024,08,01
202408010255,336500,160500,0.033854166666666664,0.03,0.40625,0.41,2024-08-01 05:15:16.367,2024,08,01
202408010300,336500,160500,0.005208333333333333,0.01,0.0625,0.06,2024-08-01 05:20:18.360,2024,08,01
202408010315,336500,160500,0.0078125,0.01,0.09375,0.09,2024-08-01 05:35:08.867,2024,08,01
202408010320,336500,160500,0.005208333333333333,0.01,0.0625,0.06,2024-08-01 05:40:10.803,2024,08,01
202408010330,336500,160500,0.0026041666666666665,0.00,0.03125,0.03,2024-08-01 05:50:14.697,2024,08,01
202408010335,336500,160500,0.010416666666666666,0.01,0.125,0.13,2024-08-01 05:55:16.597,2024,08,01
202408010340,336500,160500,0.028645833333333332,0.03,0.34375,0.34,2024-08-01 06:00:04.037,2024,08,01
202408010345,336500,160500,1.8020833333333333,1.80,21.625,21.63,2024-08-01 06:05:05.700,2024,08,01
202408010350,336500,160500,1.0885416666666667,1.09,13.0625,13.06,2024-08-01 06:10:07.600,2024,08,01
202408010355,336500,160500,0.20572916666666666,0.21,2.46875,2.47,2024-08-01 06:15:09.353,2024,08,01
202408010400,336500,160500,0.052083333333333336,0.05,0.625,0.63,2024-08-01 06:20:11.447,2024,08,01
202408010405,336500,160500,0.010416666666666666,0.01,0.125,0.13,2024-08-01 06:25:13.200,2024,08,01
202408010410,336500,160500,0.018229166666666668,0.02,0.21875,0.22,2024-08-01 06:30:15.160,2024,08,01
202408010415,336500,160500,0.013020833333333334,0.01,0.15625,0.16,2024-08-01 06:35:17.030,2024,08,01
202408021635,336500,160500,0.010416666666666666,0.01,0.125,0.13,2024-08-02 18:55:10.683,2024,08,02
202408021640,336500,160500,0.005208333333333333,0.01,0.0625,0.06,2024-08-02 19:00:12.840,2024,08,02
202408021645,336500,160500,0.013020833333333334,0.01,0.15625,0.16,2024-08-02 19:05:14.680,2024,08,02
202408021650,336500,160500,0.018229166666666668,0.02,0.21875,0.22,2024-08-02 19:10:16.657,2024,08,02
202408021655,336500,160500,0.0234375,0.02,0.28125,0.28,2024-08-02 19:15:03.657,2024,08,02
202408021700,336500,160500,0.005208333333333333,0.01,0.0625,0.06,2024-08-02 19:20:05.493,2024,08,02
202408021720,336500,160500,0.0026041666666666665,0.00,0.03125,0.03,2024-08-02 19:40:13.367,2024,08,02
202408021725,336500,160500,0.0078125,0.01,0.09375,0.09,2024-08-02 19:45:15.307,2024,08,02
202408021900,336500,160500,0.015625,0.02,0.1875,0.19,2024-08-02 21:20:07.337,2024,08,02
202408021905,336500,160500,0.0546875,0.05,0.65625,0.66,2024-08-02 21:25:09.313,2024,08,02
202408021910,336500,160500,0.005208333333333333,0.01,0.0625,0.06,2024-08-02 21:30:11.047,2024,08,02
202408021915,336500,160500,0.0026041666666666665,0.00,0.03125,0.03,2024-08-02 21:35:13.007,2024,08,02
202408021920,336500,160500,0.018229166666666668,0.02,0.21875,0.22,2024-08-02 21:40:14.953,2024,08,02
202408021925,336500,160500,0.033854166666666664,0.03,0.40625,0.41,2024-08-02 21:45:16.867,2024,08,02
202408021930,336500,160500,0.08333333333333333,0.08,1.0,1.00,2024-08-02 21:50:03.743,2024,08,02
202408021935,336500,160500,0.028645833333333332,0.03,0.34375,0.34,2024-08-02 21:55:05.867,2024,08,02
202408021940,336500,160500,0.033854166666666664,0.03,0.40625,0.41,2024-08-02 22:00:07.960,2024,08,02
202408021945,336500,160500,0.059895833333333336,0.06,0.71875,0.72,2024-08-02 22:05:10.007,2024,08,02
202408021950,336500,160500,0.078125,0.08,0.9375,0.94,2024-08-02 22:10:11.730,2024,08,02
202408021955,336500,160500,0.059895833333333336,0.06,0.71875,0.72,2024-08-02 22:15:13.557,2024,08,02
202408022000,336500,160500,0.0078125,0.01,0.09375,0.09,2024-08-02 22:20:15.623,2024,08,02
202408022215,336500,160500,0.0026041666666666665,0.00,0.03125,0.03,2024-08-03 00:35:08.460,2024,08,02
202408022230,336500,160500,0.005208333333333333,0.01,0.0625,0.06,2024-08-03 00:50:14.200,2024,08,02
202408022235,336500,160500,0.010416666666666666,0.01,0.125,0.13,2024-08-03 00:55:16.097,2024,08,02
202408022240,336500,160500,0.0078125,0.01,0.09375,0.09,2024-08-03 01:00:03.640,2024,08,02
202408022245,336500,160500,0.005208333333333333,0.01,0.0625,0.06,2024-08-03 01:05:05.263,2024,08,02
202408022305,336500,160500,0.0078125,0.01,0.09375,0.09,2024-08-04 06:36:44.953,2024,08,02
202408022305,336500,160500,0.0078125,0.01,0.09375,0.09,2024-08-04 06:36:44.953,2024,08,02
202408022305,336500,160500,0.0078125,0.01,0.09375,0.09,2024-08-04 06:36:44.940,2024,08,02
202408022305,336500,160500,0.0078125,0.01,0.09375,0.09,2024-08-04 06:36:44.940,2024,08,02
202408022310,336500,160500,0.013020833333333334,0.01,0.15625,0.16,2024-08-04 06:36:45.183,2024,08,02
202408022310,336500,160500,0.013020833333333334,0.01,0.15625,0.16,2024-08-04 06:36:45.183,2024,08,02
202408022310,336500,160500,0.013020833333333334,0.01,0.15625,0.16,2024-08-04 06:36:45.180,2024,08,02
202408022310,336500,160500,0.013020833333333334,0.01,0.15625,0.16,2024-08-04 06:36:45.180,2024,08,02
202408030000,336500,160500,0.018229166666666668,0.02,0.21875,0.22,2024-08-03 02:20:04.427,2024,08,03
